Date,EOG,COP
3/5/2012,53.461864,45.945034
3/6/2012,53.235180,45.287506
3/7/2012,53.433529,45.625156
3/8/2012,54.033325,45.743618
3/9/2012,54.302525,45.708088
3/12/2012,53.712166,45.796940
3/13/2012,55.185688,46.063507
3/14/2012,54.160843,45.915409
3/15/2012,54.609493,45.394127
3/16/2012,55.152618,45.719933
3/19/2012,55.440712,46.247147
3/20/2012,54.175014,45.950958
3/21/2012,53.749954,45.785091
3/22/2012,52.115879,44.955769
3/23/2012,52.767632,45.323036
3/26/2012,52.970715,45.826565
3/27/2012,52.555103,45.518528
3/28/2012,51.775829,45.009068
3/29/2012,51.487755,44.902458
3/30/2012,52.470078,45.026848
4/2/2012,53.532711,45.536297
4/3/2012,53.631889,45.204559
4/4/2012,52.196167,45.127552
4/5/2012,51.563313,44.641800
4/9/2012,50.741554,44.458164
4/10/2012,49.116909,43.652523
4/11/2012,48.621014,43.569595
4/12/2012,49.775284,44.150124
4/13/2012,48.881199,43.616985
4/16/2012,48.616287,43.735455
4/17/2012,49.576611,43.990177
4/18/2012,49.278568,43.415585
4/19/2012,49.179218,43.178619
4/20/2012,48.739292,43.172691
4/23/2012,49.008942,42.846901
4/24/2012,49.411026,42.580318
4/25/2012,50.347687,42.070866
4/26/2012,51.336384,42.763958
4/27/2012,51.572914,42.639557
4/30/2012,51.946629,42.432217
5/1/2012,52.618374,43.912766
5/2/2012,51.695904,42.420769
5/3/2012,50.953209,42.164326
5/4/2012,49.808384,41.317318
5/7/2012,49.562412,41.457191
5/8/2012,49.193420,42.203186
5/9/2012,49.718510,41.550446
5/10/2012,50.385536,42.133255
5/11/2012,49.306953,41.573746
5/14/2012,47.797901,41.130814
5/15/2012,46.932201,40.819984
5/16/2012,46.809200,40.656796
5/17/2012,46.047569,40.286907
5/18/2012,45.560322,39.995708
5/21/2012,47.400524,40.743374
5/22/2012,47.935085,40.664669
5/23/2012,48.110104,40.995216
5/24/2012,47.679646,41.034557
5/25/2012,48.133774,41.010956
5/29/2012,49.604988,41.923878
5/30/2012,47.774239,40.955872
5/31/2012,46.974773,41.050312
6/1/2012,43.365337,40.286907
6/4/2012,42.764549,40.373474
6/5/2012,43.459942,40.822071
6/6/2012,44.902771,42.167854
6/7/2012,45.153492,42.348873
6/8/2012,44.410793,42.474785
6/11/2012,43.488335,42.403954
6/12/2012,44.547974,43.057178
6/13/2012,43.852570,42.577099
6/14/2012,44.685165,43.033558
6/15/2012,45.716442,43.647430
6/18/2012,44.812897,43.340488
6/19/2012,45.390018,43.789093
6/20/2012,43.966114,42.844677
6/21/2012,40.910156,41.522511
6/22/2012,41.449455,42.034058
6/25/2012,40.162731,41.679913
6/26/2012,39.718040,42.215076
6/27/2012,40.555355,42.852543
6/28/2012,40.285713,42.915512
6/29/2012,42.627361,43.977978
7/2/2012,42.073895,43.859921
7/3/2012,44.888588,44.395092
